State,State Name,Year,Month,Indicator,Data Value,Predicted Value,Percent Complete,Percent Pending Investigation,Footnote
AK,Alaska,2017,June,Number of Deaths,4277,,100,0.070142623,* Underreported due to incomplete data
AK,Alaska,2017,July,Number of Deaths,4238,,100,0.070788108,* Underreported due to incomplete data
AK,Alaska,2017,August,Number of Deaths,4236,,100,0.047214353,* Underreported due to incomplete data
AK,Alaska,2017,September,Number of Deaths,4300,,100,0.023255814,* Underreported due to incomplete data
AK,Alaska,2017,October,Number of Deaths,4283,,100,0,* Underreported due to incomplete data
AK,Alaska,2017,November,Number of Deaths,4310,,100,0,* Underreported due to incomplete data
AK,Alaska,2015,January,Number of Drug Overdose Deaths,126,127,100,0,
AK,Alaska,2015,February,Number of Drug Overdose Deaths,127,128,100,0,
AK,Alaska,2015,March,Number of Drug Overdose Deaths,125,126,100,0,
AK,Alaska,2015,April,Number of Drug Overdose Deaths,126,127,100,0,
AK,Alaska,2015,May,Number of Drug Overdose Deaths,125,126,100,0,
AK,Alaska,2015,June,Number of Drug Overdose Deaths,121,122,100,0,
AK,Alaska,2015,July,Number of Drug Overdose Deaths,117,118,100,0,
AK,Alaska,2015,August,Number of Drug Overdose Deaths,124,125,100,0,
AK,Alaska,2015,September,Number of Drug Overdose Deaths,125,126,100,0,
AK,Alaska,2015,October,Number of Drug Overdose Deaths,120,121,100,0,
AK,Alaska,2015,November,Number of Drug Overdose Deaths,115,116,100,0,
AK,Alaska,2015,December,Number of Drug Overdose Deaths,121,122,100,0,
AK,Alaska,2016,January,Number of Drug Overdose Deaths,126,127,100,0,
AK,Alaska,2016,February,Number of Drug Overdose Deaths,128,129,100,0,
AK,Alaska,2016,March,Number of Drug Overdose Deaths,125,126,100,0,
AK,Alaska,2016,April,Number of Drug Overdose Deaths,132,133,100,0,
AK,Alaska,2016,May,Number of Drug Overdose Deaths,140,141,100,0,
AK,Alaska,2016,June,Number of Drug Overdose Deaths,138,139,100,0,
AK,Alaska,2016,July,Number of Drug Overdose Deaths,143,144,100,0,
AK,Alaska,2016,August,Number of Drug Overdose Deaths,138,140,100,0.023386342,
AK,Alaska,2016,September,Number of Drug Overdose Deaths,131,133,100,0.046992481,
AK,Alaska,2016,October,Number of Drug Overdose Deaths,131,134,100,0.069913773,
AK,Alaska,2016,November,Number of Drug Overdose Deaths,133,136,100,0.069946374,
AK,Alaska,2016,December,Number of Drug Overdose Deaths,129,131,100,0.068886338,
AK,Alaska,2017,January,Number of Drug Overdose Deaths,126,127,100,0.068587106,* Underreported due to incomplete data
AK,Alaska,2017,February,Number of Drug Overdose Deaths,124,126,100,0.069013112,* Underreported due to incomplete data
AK,Alaska,2017,March,Number of Drug Overdose Deaths,126,128,100,0.068807339,* Underreported due to incomplete data
AK,Alaska,2017,April,Number of Drug Overdose Deaths,117,119,100,0.069348128,* Underreported due to incomplete data
AK,Alaska,2017,May,Number of Drug Overdose Deaths,120,122,100,0.070126227,* Underreported due to incomplete data
AK,Alaska,2017,June,Number of Drug Overdose Deaths,122,124,100,0.070142623,* Underreported due to incomplete data
AK,Alaska,2017,July,Number of Drug Overdose Deaths,128,131,100,0.070788108,* Underreported due to incomplete data
AK,Alaska,2017,August,Number of Drug Overdose Deaths,137,140,100,0.047214353,* Underreported due to incomplete data
AK,Alaska,2017,September,Number of Drug Overdose Deaths,148,150,100,0.023255814,* Underreported due to incomplete data
AK,Alaska,2017,October,Number of Drug Overdose Deaths,144,146,100,0,* Underreported due to incomplete data
AK,Alaska,2017,November,Number of Drug Overdose Deaths,138,139,100,0,* Underreported due to incomplete data
AL,Alabama,2015,January,Number of Deaths,49543,,100,0.33708092,
AL,Alabama,2015,February,Number of Deaths,50004,,100,0.323974082,
AL,Alabama,2015,March,Number of Deaths,50486,,100,0.308996553,
AL,Alabama,2015,April,Number of Deaths,50565,,100,0.316424404,
AL,Alabama,2015,May,Number of Deaths,50516,,100,0.318710903,
AL,Alabama,2015,June,Number of Deaths,50658,,100,0.341505784,
AL,Alabama,2015,July,Number of Deaths,50841,,100,0.330441966,
AL,Alabama,2015,August,Number of Deaths,50930,,100,0.331827999,
AL,Alabama,2015,September,Number of Deaths,51044,,100,0.323250529,
AL,Alabama,2015,October,Number of Deaths,51091,,100,0.309252119,
AL,Alabama,2015,November,Number of Deaths,51093,,100,0.293582291,
AL,Alabama,2015,December,Number of Deaths,50870,,100,0.310595636,
AL,Alabama,2016,January,Number of Deaths,50534,,100,0.302766454,
AL,Alabama,2016,February,Number of Deaths,50555,,100,0.282860251,
AL,Alabama,2016,March,Number of Deaths,50348,,100,0.282037022,
AL,Alabama,2016,April,Number of Deaths,50391,,100,0.279811871,
AL,Alabama,2016,May,Number of Deaths,50511,,100,0.28310665,
AL,Alabama,2016,June,Number of Deaths,50613,,100,0.264754115,
AL,Alabama,2016,July,Number of Deaths,50683,,100,0.278199791,
AL,Alabama,2016,August,Number of Deaths,50756,,100,0.264008196,
AL,Alabama,2016,September,Number of Deaths,50810,,100,0.265695729,
AL,Alabama,2016,October,Number of Deaths,50869,,100,0.287011736,
AL,Alabama,2016,November,Number of Deaths,51110,,100,0.275875563,
AL,Alabama,2016,December,Number of Deaths,51431,,100,0.270265015,
AL,Alabama,2017,January,Number of Deaths,51656,,100,0.259408394,* Underreported due to incomplete data
AL,Alabama,2017,February,Number of Deaths,51546,,100,0.258021961,* Underreported due to incomplete data
AL,Alabama,2017,March,Number of Deaths,51674,,100,0.255447614,* Underreported due to incomplete data
AL,Alabama,2017,April,Number of Deaths,51801,,100,0.239377618,* Underreported due to incomplete data
AL,Alabama,2017,May,Number of Deaths,51951,,100,0.223287328,* Underreported due to incomplete data
AL,Alabama,2017,June,Number of Deaths,52013,,100,0.215330783,* Underreported due to incomplete data
AL,Alabama,2017,July,Number of Deaths,52050,,100,0.199807877,* Underreported due to incomplete data
AL,Alabama,2017,August,Number of Deaths,52092,,100,0.199646779,* Underreported due to incomplete data
AL,Alabama,2017,September,Number of Deaths,52250,,100,0.19138756,* Underreported due to incomplete data
AL,Alabama,2017,October,Number of Deaths,52288,,100,0.175948592,* Underreported due to incomplete data
AL,Alabama,2017,November,Number of Deaths,52281,,100,0.185535854,* Underreported due to incomplete data
AL,Alabama,2015,January,Number of Drug Overdose Deaths,715,761,100,0.33708092,
AL,Alabama,2015,February,Number of Drug Overdose Deaths,723,768,100,0.323974082,
AL,Alabama,2015,March,Number of Drug Overdose Deaths,733,776,100,0.308996553,
AL,Alabama,2015,April,Number of Drug Overdose Deaths,738,783,100,0.316424404,
AL,Alabama,2015,May,Number of Drug Overdose Deaths,755,801,100,0.318710903,
AL,Alabama,2015,June,Number of Drug Overdose Deaths,756,806,100,0.341505784,
AL,Alabama,2015,July,Number of Drug Overdose Deaths,743,790,100,0.330441966,
AL,Alabama,2015,August,Number of Drug Overdose Deaths,736,783,100,0.331827999,
AL,Alabama,2015,September,Number of Drug Overdose Deaths,744,790,100,0.323250529,
AL,Alabama,2015,October,Number of Drug Overdose Deaths,730,773,100,0.309252119,
AL,Alabama,2015,November,Number of Drug Overdose Deaths,725,766,100,0.293582291,
AL,Alabama,2015,December,Number of Drug Overdose Deaths,720,763,100,0.310595636,
AL,Alabama,2016,January,Number of Drug Overdose Deaths,706,747,100,0.302766454,
AL,Alabama,2016,February,Number of Drug Overdose Deaths,710,749,100,0.282860251,
AL,Alabama,2016,March,Number of Drug Overdose Deaths,681,718,100,0.282037022,
AL,Alabama,2016,April,Number of Drug Overdose Deaths,676,712,100,0.279811871,
AL,Alabama,2016,May,Number of Drug Overdose Deaths,654,690,100,0.28310665,
AL,Alabama,2016,June,Number of Drug Overdose Deaths,674,708,100,0.264754115,
AL,Alabama,2016,July,Number of Drug Overdose Deaths,681,718,100,0.278199791,
AL,Alabama,2016,August,Number of Drug Overdose Deaths,685,720,100,0.264008196,
AL,Alabama,2016,September,Number of Drug Overdose Deaths,695,731,100,0.265695729,
AL,Alabama,2016,October,Number of Drug Overdose Deaths,704,743,100,0.287011736,
AL,Alabama,2016,November,Number of Drug Overdose Deaths,718,756,100,0.275875563,
AL,Alabama,2016,December,Number of Drug Overdose Deaths,740,779,100,0.270265015,
AL,Alabama,2017,January,Number of Drug Overdose Deaths,763,794,100,0.259408394,* Underreported due to incomplete data
AL,Alabama,2017,February,Number of Drug Overdose Deaths,759,793,100,0.258021961,* Underreported due to incomplete data
AL,Alabama,2017,March,Number of Drug Overdose Deaths,793,828,100,0.255447614,* Underreported due to incomplete data
AL,Alabama,2017,April,Number of Drug Overdose Deaths,793,827,100,0.239377618,* Underreported due to incomplete data
AL,Alabama,2017,May,Number of Drug Overdose Deaths,810,842,100,0.223287328,* Underreported due to incomplete data
AL,Alabama,2017,June,Number of Drug Overdose Deaths,802,836,100,0.215330783,* Underreported due to incomplete data
AL,Alabama,2017,July,Number of Drug Overdose Deaths,808,842,100,0.199807877,* Underreported due to incomplete data
AL,Alabama,2017,August,Number of Drug Overdose Deaths,807,844,100,0.199646779,* Underreported due to incomplete data
AL,Alabama,2017,September,Number of Drug Overdose Deaths,798,833,100,0.19138756,* Underreported due to incomplete data
AL,Alabama,2017,October,Number of Drug Overdose Deaths,800,831,100,0.175948592,* Underreported due to incomplete data
AL,Alabama,2017,November,Number of Drug Overdose Deaths,798,827,100,0.185535854,* Underreported due to incomplete data
AR,Arkansas,2015,January,Number of Deaths,30122,,100,0.04979749,
AR,Arkansas,2015,February,Number of Deaths,30332,,100,0.046155875,
AR,Arkansas,2015,March,Number of Deaths,30387,,100,0.046072334,
AR,Arkansas,2015,April,Number of Deaths,30444,,100,0.039416634,
AR,Arkansas,2015,May,Number of Deaths,30602,,100,0.042480884,
AR,Arkansas,2015,June,Number of Deaths,30722,,100,0.042314953,
AR,Arkansas,2015,July,Number of Deaths,30685,,100,0.048883819,
AR,Arkansas,2015,August,Number of Deaths,30884,,100,0.048568838,
AR,Arkansas,2015,September,Number of Deaths,30931,,100,0.061427047,
AR,Arkansas,2015,October,Number of Deaths,31015,,100,0.058036434,
AR,Arkansas,2015,November,Number of Deaths,31007,,100,0.061276486,
AR,Arkansas,2015,December,Number of Deaths,30986,,100,0.070999806,
AR,Arkansas,2016,January,Number of Deaths,30624,,100,0.07183908,
AR,Arkansas,2016,February,Number of Deaths,30413,,100,0.072337487,
AR,Arkansas,2016,March,Number of Deaths,30421,,100,0.075605667,
AR,Arkansas,2016,April,Number of Deaths,30489,,100,0.078716914,
AR,Arkansas,2016,May,Number of Deaths,30361,,100,0.07904878,
AR,Arkansas,2016,June,Number of Deaths,30434,,100,0.078859171,
AR,Arkansas,2016,July,Number of Deaths,30590,,100,0.07518797,
AR,Arkansas,2016,August,Number of Deaths,30488,,100,0.078719496,
AR,Arkansas,2016,September,Number of Deaths,30540,,100,0.068762279,
AR,Arkansas,2016,October,Number of Deaths,30489,,100,0.075437043,
AR,Arkansas,2016,November,Number of Deaths,30697,,100,0.074925889,
AR,Arkansas,2016,December,Number of Deaths,31028,,100,0.0709037,
AR,Arkansas,2017,January,Number of Deaths,31116,,100,0.073916956,* Underreported due to incomplete data
AR,Arkansas,2017,February,Number of Deaths,31159,,100,0.083442986,* Underreported due to incomplete data
AR,Arkansas,2017,March,Number of Deaths,31312,,100,0.076647931,* Underreported due to incomplete data
AR,Arkansas,2017,April,Number of Deaths,31386,,100,0.076467215,* Underreported due to incomplete data
AR,Arkansas,2017,May,Number of Deaths,31500,,100,0.079365079,* Underreported due to incomplete data
AR,Arkansas,2017,June,Number of Deaths,31557,,100,0.076052857,* Underreported due to incomplete data
AR,Arkansas,2017,July,Number of Deaths,31552,,100,0.076064909,* Underreported due to incomplete data
AR,Arkansas,2017,August,Number of Deaths,31599,,100,0.069622456,* Underreported due to incomplete data
AR,Arkansas,2017,September,Number of Deaths,31721,,100,0.072507172,* Underreported due to incomplete data
AR,Arkansas,2017,October,Number of Deaths,31726,,100,0.069343756,* Underreported due to incomplete data
AR,Arkansas,2017,November,Number of Deaths,31657,,100,0.078971476,* Underreported due to incomplete data
AR,Arkansas,2015,January,Number of Drug Overdose Deaths,366,371,100,0.04979749,
AR,Arkansas,2015,February,Number of Drug Overdose Deaths,366,371,100,0.046155875,
AR,Arkansas,2015,March,Number of Drug Overdose Deaths,385,390,100,0.046072334,
AR,Arkansas,2015,April,Number of Drug Overdose Deaths,373,377,100,0.039416634,
AR,Arkansas,2015,May,Number of Drug Overdose Deaths,383,388,100,0.042480884,
AR,Arkansas,2015,June,Number of Drug Overdose Deaths,391,396,100,0.042314953,
AR,Arkansas,2015,July,Number of Drug Overdose Deaths,395,400,100,0.048883819,
AR,Arkansas,2015,August,Number of Drug Overdose Deaths,398,403,100,0.048568838,
AR,Arkansas,2015,September,Number of Drug Overdose Deaths,392,398,100,0.061427047,
AR,Arkansas,2015,October,Number of Drug Overdose Deaths,397,403,100,0.058036434,
AR,Arkansas,2015,November,Number of Drug Overdose Deaths,389,395,100,0.061276486,
AR,Arkansas,2015,December,Number of Drug Overdose Deaths,381,387,100,0.070999806,
AR,Arkansas,2016,January,Number of Drug Overdose Deaths,378,384,100,0.07183908,
AR,Arkansas,2016,February,Number of Drug Overdose Deaths,379,386,100,0.072337487,
AR,Arkansas,2016,March,Number of Drug Overdose Deaths,363,369,100,0.075605667,
AR,Arkansas,2016,April,Number of Drug Overdose Deaths,372,379,100,0.078716914,
AR,Arkansas,2016,May,Number of Drug Overdose Deaths,376,383,100,0.07904878,
AR,Arkansas,2016,June,Number of Drug Overdose Deaths,369,376,100,0.078859171,
AR,Arkansas,2016,July,Number of Drug Overdose Deaths,378,385,100,0.07518797,
AR,Arkansas,2016,August,Number of Drug Overdose Deaths,383,390,100,0.078719496,
AR,Arkansas,2016,September,Number of Drug Overdose Deaths,379,385,100,0.068762279,
AR,Arkansas,2016,October,Number of Drug Overdose Deaths,372,379,100,0.075437043,
AR,Arkansas,2016,November,Number of Drug Overdose Deaths,378,385,100,0.074925889,
AR,Arkansas,2016,December,Number of Drug Overdose Deaths,386,393,100,0.0709037,
AR,Arkansas,2017,January,Number of Drug Overdose Deaths,384,387,100,0.073916956,* Underreported due to incomplete data
AR,Arkansas,2017,February,Number of Drug Overdose Deaths,380,386,100,0.083442986,* Underreported due to incomplete data
AR,Arkansas,2017,March,Number of Drug Overdose Deaths,384,389,100,0.076647931,* Underreported due to incomplete data
AR,Arkansas,2017,April,Number of Drug Overdose Deaths,386,392,100,0.076467215,* Underreported due to incomplete data
AR,Arkansas,2017,May,Number of Drug Overdose Deaths,383,389,100,0.079365079,* Underreported due to incomplete data
AR,Arkansas,2017,June,Number of Drug Overdose Deaths,398,405,100,0.076052857,* Underreported due to incomplete data
AR,Arkansas,2017,July,Number of Drug Overdose Deaths,395,403,100,0.076064909,* Underreported due to incomplete data
AR,Arkansas,2017,August,Number of Drug Overdose Deaths,406,416,100,0.069622456,* Underreported due to incomplete data
AR,Arkansas,2017,September,Number of Drug Overdose Deaths,413,422,100,0.072507172,* Underreported due to incomplete data
AR,Arkansas,2017,October,Number of Drug Overdose Deaths,410,418,100,0.069343756,* Underreported due to incomplete data
AR,Arkansas,2017,November,Number of Drug Overdose Deaths,411,419,100,0.078971476,* Underreported due to incomplete data
AZ,Arizona,2015,January,Number of Deaths,52342,,100,0.32669749,
AZ,Arizona,2015,February,Number of Deaths,52371,,100,0.349430028,
AZ,Arizona,2015,March,Number of Deaths,52826,,100,0.342634309,
AZ,Arizona,2015,April,Number of Deaths,53025,,100,0.341348421,
AZ,Arizona,2015,May,Number of Deaths,53225,,100,0.336308126,
AZ,Arizona,2015,June,Number of Deaths,53462,,100,0.334817253,
AZ,Arizona,2015,July,Number of Deaths,53685,,100,0.324112881,
AZ,Arizona,2015,August,Number of Deaths,53907,,100,0.293097371,
AZ,Arizona,2015,September,Number of Deaths,54058,,100,0.270080284,
AZ,Arizona,2015,October,Number of Deaths,54122,,100,0.249436458,
AZ,Arizona,2015,November,Number of Deaths,54421,,100,0.224178167,
AZ,Arizona,2015,December,Number of Deaths,54853,,100,0.196889869,
AZ,Arizona,2016,January,Number of Deaths,54917,,100,0.160241819,
AZ,Arizona,2016,February,Number of Deaths,55755,,100,0.139897767,
AZ,Arizona,2016,March,Number of Deaths,56319,,100,0.154477175,
AZ,Arizona,2016,April,Number of Deaths,56436,,100,0.173648026,
AZ,Arizona,2016,May,Number of Deaths,56522,,100,0.201691377,
AZ,Arizona,2016,June,Number of Deaths,56648,,100,0.261262534,
AZ,Arizona,2016,July,Number of Deaths,56865,,100,0.33236613,
AZ,Arizona,2016,August,Number of Deaths,56960,,100,0.372191011,
AZ,Arizona,2016,September,Number of Deaths,57051,,100,0.394383972,
AZ,Arizona,2016,October,Number of Deaths,57277,,100,0.464409798,
AZ,Arizona,2016,November,Number of Deaths,57252,,100,0.520505834,
AZ,Arizona,2016,December,Number of Deaths,57215,,100,0.618718867,
AZ,Arizona,2017,January,Number of Deaths,57224,,100,0.623864113,* Underreported due to incomplete data
AZ,Arizona,2017,February,Number of Deaths,56612,,100,0.634141171,* Underreported due to incomplete data
AZ,Arizona,2017,March,Number of Deaths,56273,,100,0.636184316,* Underreported due to incomplete data
AZ,Arizona,2017,April,Number of Deaths,56458,,100,0.632328457,* Underreported due to incomplete data
AZ,Arizona,2017,May,Number of Deaths,56726,,100,0.617001022,* Underreported due to incomplete data
AZ,Arizona,2017,June,Number of Deaths,57018,,100,0.587533761,* Underreported due to incomplete data
AZ,Arizona,2017,July,Number of Deaths,57220,,100,0.552254456,* Underreported due to incomplete data
AZ,Arizona,2017,August,Number of Deaths,57316,,100,0.537371764,* Underreported due to incomplete data
AZ,Arizona,2017,September,Number of Deaths,57539,,100,0.524861398,* Underreported due to incomplete data
AZ,Arizona,2017,October,Number of Deaths,57705,,100,0.452300494,* Underreported due to incomplete data
AZ,Arizona,2017,November,Number of Deaths,57863,,100,0.426870366,* Underreported due to incomplete data
AZ,Arizona,2015,January,Number of Drug Overdose Deaths,1193,1267,100,0.32669749,
AZ,Arizona,2015,February,Number of Drug Overdose Deaths,1175,1253,100,0.349430028,
AZ,Arizona,2015,March,Number of Drug Overdose Deaths,1174,1251,100,0.342634309,
AZ,Arizona,2015,April,Number of Drug Overdose Deaths,1173,1249,100,0.341348421,
AZ,Arizona,2015,May,Number of Drug Overdose Deaths,1184,1260,100,0.336308126,
AZ,Arizona,2015,June,Number of Drug Overdose Deaths,1209,1286,100,0.334817253,
AZ,Arizona,2015,July,Number of Drug Overdose Deaths,1201,1275,100,0.324112881,
AZ,Arizona,2015,August,Number of Drug Overdose Deaths,1240,1310,100,0.293097371,
AZ,Arizona,2015,September,Number of Drug Overdose Deaths,1241,1305,100,0.270080284,
AZ,Arizona,2015,October,Number of Drug Overdose Deaths,1264,1325,100,0.249436458,
AZ,Arizona,2015,November,Number of Drug Overdose Deaths,1269,1324,100,0.224178167,
AZ,Arizona,2015,December,Number of Drug Overdose Deaths,1267,1316,100,0.196889869,
AZ,Arizona,2016,January,Number of Drug Overdose Deaths,1298,1339,100,0.160241819,
AZ,Arizona,2016,February,Number of Drug Overdose Deaths,1307,1344,100,0.139897767,
AZ,Arizona,2016,March,Number of Drug Overdose Deaths,1313,1353,100,0.154477175,
AZ,Arizona,2016,April,Number of Drug Overdose Deaths,1335,1381,100,0.173648026,
AZ,Arizona,2016,May,Number of Drug Overdose Deaths,1350,1403,100,0.201691377,
AZ,Arizona,2016,June,Number of Drug Overdose Deaths,1370,1439,100,0.261262534,
AZ,Arizona,2016,July,Number of Drug Overdose Deaths,1421,1511,100,0.33236613,
AZ,Arizona,2016,August,Number of Drug Overdose Deaths,1410,1510,100,0.372191011,
AZ,Arizona,2016,September,Number of Drug Overdose Deaths,1404,1510,100,0.394383972,
AZ,Arizona,2016,October,Number of Drug Overdose Deaths,1405,1530,100,0.464409798,
AZ,Arizona,2016,November,Number of Drug Overdose Deaths,1397,1537,100,0.520505834,
AZ,Arizona,2016,December,Number of Drug Overdose Deaths,1393,1561,100,0.618718867,
AZ,Arizona,2017,January,Number of Drug Overdose Deaths,1417,1575,100,0.623864113,* Underreported due to incomplete data
AZ,Arizona,2017,February,Number of Drug Overdose Deaths,1411,1578,100,0.634141171,* Underreported due to incomplete data
AZ,Arizona,2017,March,Number of Drug Overdose Deaths,1429,1599,100,0.636184316,* Underreported due to incomplete data
AZ,Arizona,2017,April,Number of Drug Overdose Deaths,1416,1585,100,0.632328457,* Underreported due to incomplete data
AZ,Arizona,2017,May,Number of Drug Overdose Deaths,1434,1600,100,0.617001022,* Underreported due to incomplete data
AZ,Arizona,2017,June,Number of Drug Overdose Deaths,1452,1618,100,0.587533761,* Underreported due to incomplete data
AZ,Arizona,2017,July,Number of Drug Overdose Deaths,1447,1606,100,0.552254456,* Underreported due to incomplete data
AZ,Arizona,2017,August,Number of Drug Overdose Deaths,1465,1629,100,0.537371764,* Underreported due to incomplete data
AZ,Arizona,2017,September,Number of Drug Overdose Deaths,1487,1648,100,0.524861398,* Underreported due to incomplete data
AZ,Arizona,2017,October,Number of Drug Overdose Deaths,1497,1633,100,0.452300494,* Underreported due to incomplete data
AZ,Arizona,2017,November,Number of Drug Overdose Deaths,1510,1634,100,0.426870366,* Underreported due to incomplete data
CA,California,2015,January,Number of Deaths,248191,,100,0.238123058,
CA,California,2015,February,Number of Deaths,249920,,100,0.23087388,
CA,California,2015,March,Number of Deaths,251540,,100,0.224616363,
CA,California,2015,April,Number of Deaths,252831,,100,0.22267839,
CA,California,2015,May,Number of Deaths,253858,,100,0.217444398,
CA,California,2015,June,Number of Deaths,254838,,100,0.219747447,
CA,California,2015,July,Number of Deaths,255417,,100,0.224339022,
CA,California,2015,August,Number of Deaths,256464,,100,0.233950964,
CA,California,2015,September,Number of Deaths,257163,,100,0.255868846,
CA,California,2015,October,Number of Deaths,257750,,100,0.278952473,
CA,California,2015,November,Number of Deaths,258808,,100,0.308336682,
CA,California,2015,December,Number of Deaths,260172,,100,0.355918392,
CA,California,2016,January,Number of Deaths,259303,,100,0.359810723,
CA,California,2016,February,Number of Deaths,260508,,100,0.363904371,
CA,California,2016,March,Number of Deaths,261416,,100,0.371438627,
CA,California,2016,April,Number of Deaths,261595,,100,0.37768306,
CA,California,2016,May,Number of Deaths,261557,,100,0.391883987,
CA,California,2016,June,Number of Deaths,261467,,100,0.396990825,
CA,California,2016,July,Number of Deaths,261603,,100,0.410163492,
CA,California,2016,August,Number of Deaths,261781,,100,0.420198563,
CA,California,2016,September,Number of Deaths,262041,,100,0.419781637,
CA,California,2016,October,Number of Deaths,262751,,100,0.417124959,
CA,California,2016,November,Number of Deaths,262360,,100,0.39297149,
CA,California,2016,December,Number of Deaths,263199,,100,0.363983146,
CA,California,2017,January,Number of Deaths,265344,,100,0.369708755,* Underreported due to incomplete data
CA,California,2017,February,Number of Deaths,264895,,100,0.37146794,* Underreported due to incomplete data
CA,California,2017,March,Number of Deaths,264775,,100,0.375413087,* Underreported due to incomplete data
CA,California,2017,April,Number of Deaths,265300,,100,0.379193366,* Underreported due to incomplete data
CA,California,2017,May,Number of Deaths,265970,,100,0.38538181,* Underreported due to incomplete data
CA,California,2017,June,Number of Deaths,266923,,100,0.401613949,* Underreported due to incomplete data
CA,California,2017,July,Number of Deaths,267399,,100,0.406134653,* Underreported due to incomplete data
CA,California,2017,August,Number of Deaths,267375,,100,0.411033193,* Underreported due to incomplete data
CA,California,2017,September,Number of Deaths,268120,,100,0.421826048,* Underreported due to incomplete data
CA,California,2017,October,Number of Deaths,268401,,100,0.429953689,* Underreported due to incomplete data
CA,California,2017,November,Number of Deaths,268415,,100,0.440362871,* Underreported due to incomplete data
CA,California,2015,January,Number of Drug Overdose Deaths,4603,4813,100,0.238123058,
CA,California,2015,February,Number of Drug Overdose Deaths,4616,4820,100,0.23087388,
CA,California,2015,March,Number of Drug Overdose Deaths,4608,4807,100,0.224616363,
CA,California,2015,April,Number of Drug Overdose Deaths,4625,4823,100,0.22267839,
CA,California,2015,May,Number of Drug Overdose Deaths,4607,4799,100,0.217444398,
CA,California,2015,June,Number of Drug Overdose Deaths,4604,4798,100,0.219747447,
CA,California,2015,July,Number of Drug Overdose Deaths,4628,4827,100,0.224339022,
CA,California,2015,August,Number of Drug Overdose Deaths,4670,4879,100,0.233950964,
CA,California,2015,September,Number of Drug Overdose Deaths,4747,4979,100,0.255868846,
CA,California,2015,October,Number of Drug Overdose Deaths,4784,5038,100,0.278952473,
CA,California,2015,November,Number of Drug Overdose Deaths,4747,5025,100,0.308336682,
CA,California,2015,December,Number of Drug Overdose Deaths,4762,5084,100,0.355918392,
CA,California,2016,January,Number of Drug Overdose Deaths,4745,5070,100,0.359810723,
CA,California,2016,February,Number of Drug Overdose Deaths,4745,5073,100,0.363904371,
CA,California,2016,March,Number of Drug Overdose Deaths,4768,5105,100,0.371438627,
CA,California,2016,April,Number of Drug Overdose Deaths,4795,5140,100,0.37768306,
CA,California,2016,May,Number of Drug Overdose Deaths,4811,5170,100,0.391883987,
CA,California,2016,June,Number of Drug Overdose Deaths,4844,5210,100,0.396990825,
CA,California,2016,July,Number of Drug Overdose Deaths,4816,5192,100,0.410163492,
CA,California,2016,August,Number of Drug Overdose Deaths,4791,5175,100,0.420198563,
CA,California,2016,September,Number of Drug Overdose Deaths,4716,5094,100,0.419781637,
CA,California,2016,October,Number of Drug Overdose Deaths,4659,5030,100,0.417124959,
CA,California,2016,November,Number of Drug Overdose Deaths,4709,5061,100,0.39297149,
CA,California,2016,December,Number of Drug Overdose Deaths,4755,5084,100,0.363983146,
CA,California,2017,January,Number of Drug Overdose Deaths,4769,5060,100,0.369708755,* Underreported due to incomplete data
CA,California,2017,February,Number of Drug Overdose Deaths,4720,5029,100,0.37146794,* Underreported due to incomplete data
